poss_id,period,clock_start_sec,clock_end_sec,offense_team_id,defense_team_id,score_diff_start,shot_bucket,points_scored,prev_pts_1,prev_pts_2,prev_pts_3,prev_bucket_1,tempo_sec,tempo_mean_last3,streak_scored_last3
1,1,692,664,1610612749,1610612738,0,no_shot,2,0,0,0,none,28,,0
2,1,645,623,1610612738,1610612749,2,paint,0,2,0,0,no_shot,22,28.0,0
3,1,603,586,1610612749,1610612738,2,corner_three,3,0,2,0,paint,17,25.0,0
